condition,replicate
D6_Ctrl,rep1
D6_Ctrl,rep2
D6_Ctrl,rep3
D6_Ctrl,rep4
D6_IMQ,rep1
D6_IMQ,rep2
D6_IMQ,rep3
D6_IMQ,rep4
D30_Ctrl,rep1
D30_Ctrl,rep2
D30_Ctrl,rep3
D30_Ctrl,rep4
D30_IMQ,rep1
D30_IMQ,rep2
D30_IMQ,rep3
D30_IMQ,rep4
D180_Ctrl,rep1
D180_Ctrl,rep2
D180_Ctrl,rep3
D180_Ctrl,rep4
D180_Ctrl,rep5
D180_IMQ,rep1
D180_IMQ,rep2
M12_Ctrl,rep1
M12_Ctrl,rep2
M12_Ctrl,rep3
M12_Ctrl,rep4
M12_IMQ,rep1
M12_IMQ,rep2
M12_IMQ,rep3
M12_IMQ,rep4
M18_Ctrl,rep1
M18_Ctrl,rep2
M18_IMQ,rep1
M18_IMQ,rep2
M24_Ctrl,rep1
M24_Ctrl,rep2
M24_IMQ,rep1
M24_IMQ,rep2
D6_Ctrl_Stat3KO,rep1
D6_Ctrl_Stat3KO,rep2
D6_IMQ_Stat3KO,rep1
D6_IMQ_Stat3KO,rep2
D6_Ctrl_AFosDox,rep1
D6_Ctrl_AFosDox,rep2
D6_IMQ_AFosDox,rep1
D6_IMQ_AFosDox,rep2
